"TrialID","Tag.ID","Unbaited_visits_dur","Unbaited_visits_n","Baited_visits_dur","Baited_visits_n","Search_finds_visits_dur","Search_finds_visits_n","SF_visits_dur","SF_visits_n","Revisit_prod_dur","Revisits_prod_n","Join_visits_dur","Join_visits_n","Join_visits_NL_dur","Join_visits_NL_n","Join_FS_visits_dur","Join_FS_visits_n","Join_FL_visits_dur","Join_FL_visits_n","Join_BS_visits_dur","Join_BS_visits_n","Join_BL_visits_dur","Join_BL_visits_n","Join_latent_visits_dur","Join_latent_visits_n","Baited_visits_n2","Baited_visits_duration2","Join_visits_n2","Join_visits_duration2","Join_revisits_n2","Join_revisits_duration2","SF_visits_n2","SF_visits_duration2","Prim_prd_visits_n","Prim_prd_visits_duration","Secondary_visits_n","Secondary_visits_duration","Dir_scr_visits_n","Dir_scr_visits_duration","Vac_scr_visits_n","Vac_scr_visits_duration","Prim_prd_revisits_n","Prim_prd_revisits_duration","Dir_scr_revisits_n","Dir_scr_revisits_duration","Vac_scr_revisits_n","Vac_scr_revisits_duration","Time_spent_baited_wells","Total_feeds_RFID","Producing_feeds_RFID","Scrounging_feeds_RFID","SF_feeds_RFID","Producing_feeds_RFID2","Scrounging_feeds_RFID2","SF_feeds_RFID2","Activity_visits","Activity_distance","Board_time","Exploration1","Exploration2","Latency","Arrival_order","Trial_indiv_index","Avg_dist_1.2","Avg_dist_1.3","Avg_dist_2.3"
"G109_1","000724D4F1",7.76299999999901,4,101.623,7,7.7039999999979,1,93.9190000000017,6,0,0,37.8790000000154,3,15.3830000000089,2,0,0,3.96700000000419,3,0,0,0,0,22.4960000000065,1,7,101.623,3,37.8790000000154,0,0,6,93.9190000000017,2,58.2490000000034,5,43.3739999999962,0,0,1,9.56399999999849,6,67.9930000000095,0,0,0,0,180.000000000029,38,21,8,20,21,8,20,85,2281.78220717654,233.887000000002,11,4,37.7030000000013,1,"3",48.6608311261547,49.4121983918518,50.7624207612978
"G109_1","000724D959",17.3190000000031,6,10.6879999999946,2,10.6879999999946,2,0,0,43.1459999999934,2,151.592999999993,4,151.592999999993,4,40.6289999999935,2,2.54400000000169,1,85.0109999999986,1,0,0,0,0,2,10.6879999999946,4,151.592999999993,0,0,0,0,0,0,2,10.6879999999946,2,31.038999999997,0,0,0,0,4,143.822999999989,0,0,204.138999999996,43,11,32,0,2,32,0,53,1593.87722273986,300.506999999998,17,9,40.6860000000015,2,NA,NA,NA,NA
"G109_1","000724F85F",7.21200000000681,4,77.1269999999931,4,0,0,77.1269999999931,4,13.7030000000013,1,35.4260000000068,7,32.5410000000047,6,15.5469999999987,2,0,0,0,0,0,0,2.88500000000204,1,4,77.1269999999931,7,35.4260000000068,0,0,4,77.1269999999931,1,47.4219999999987,3,29.7049999999945,1,7.53500000000349,0,0,3,36.6559999999954,1,7.77199999999721,0,0,175.668000000005,37,19,7,16,16,7,16,55,1240.2147161258,190.653000000013,8,4,41.4669999999969,3,NA,NA,NA,NA
"G109_1","000724FA76",15.0240000000049,6,35.8239999999932,4,5.03899999999703,1,30.7849999999962,3,0,0,40.8609999999899,4,31.4289999999892,3,0,0,4.58699999999953,1,22.1749999999956,1,0,0,9.4320000000007,1,4,35.8239999999932,4,40.8609999999899,1,13.8639999999941,3,30.7849999999962,0,0,4,35.8239999999932,0,0,2,22.400999999998,0,0,0,0,2,30.5589999999938,126.624999999978,27,7,8,6,7,11,6,82,2376.49172765698,191.940999999963,17,5,76.8640000000014,6,NA,NA,NA,NA
"G109_2","000724BF5E",10.5690000000031,6,29.8870000000024,3,6.7300000000032,1,23.1569999999992,2,0,0,41.4539999999906,6,14.9029999999984,3,5.98999999999796,1,2.84500000000116,3,0,0,0,0,26.5509999999922,3,3,29.8870000000024,6,41.4539999999906,1,17.2989999999991,2,23.1569999999992,0,0,3,29.8870000000024,2,25.0689999999959,0,0,0,0,2,23.1569999999992,0,0,90.6280000000115,19,6,8,4,6,12,4,63,1998.83561612924,135.728999999999,10,4,73.5760000000009,3,"1",36.8593340037788,NA,NA
"G109_2","000724CD88",3.69600000000355,2,76.9110000000073,4,5.96199999999953,1,70.9490000000078,3,16.5089999999982,1,113.514999999999,2,113.514999999999,2,113.514999999999,2,0,0,0,0,0,0,0,0,4,76.9110000000073,2,113.514999999999,0,0,3,70.9490000000078,0,0,4,76.9110000000073,2,113.514999999999,0,0,0,0,4,87.458000000006,0,0,219.203000000009,47,20,24,15,16,24,15,17,337.14736044512,222.899000000012,4,3,252.898000000001,4,"2",36.8593340037788,NA,NA
"G109_2","000724D4F1",1.5850000000064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44999999999709,0,0,0,0,0,0,0,2,32.0822770388886,2.03500000000349,0,0,NA,NA,"3",NA,NA,NA
"G109_2","000724D959",3.75699999999051,2,106.732000000004,7,0,0,106.732000000004,7,30.6600000000035,2,56.5900000000038,8,48.2260000000024,7,11.6359999999986,1,14.3539999999921,7,6.40899999999965,1,0,0,8.3640000000014,1,7,106.732000000004,8,56.5900000000038,2,10.4770000000062,6,101.603999999999,2,65.9089999999997,5,40.823000000004,1,13.3170000000027,0,0,8,80.9070000000065,1,11.6359999999986,0,0,243.293999999994,52,29,12,22,22,14,21,54,1060.52379254738,248.281999999992,6,4,398.404000000002,5,NA,NA,NA,NA
"G109_2","000724F85F",2.4539999999979,1,142.044000000009,4,0,0,142.044000000009,4,0,0,146.350000000013,6,125.778000000013,5,62.7970000000059,2,0,0,0,0,4.32700000000477,1,20.5720000000001,1,4,142.044000000009,6,146.350000000013,0,0,4,142.044000000009,2,106.207000000009,2,35.8369999999995,1,41.0580000000045,0,0,3,57.5760000000009,1,52.9069999999992,0,0,296.468000000015,63,30,31,30,30,31,30,20,668.805050793996,305.110000000015,7,5,69.8410000000003,2,NA,NA,NA,NA
"G109_2","000724FA76",4.74499999999534,2,56.7350000000079,6,6.54300000000512,1,50.1920000000027,5,60.6319999999905,4,87.5009999999893,5,41.7879999999932,2,5.64999999999418,1,1.41300000000047,1,36.137999999999,1,0,0,45.7129999999961,3,6,56.7350000000079,5,87.5009999999893,1,5.07200000000012,4,45.1200000000026,0,0,6,56.7350000000079,0,0,3,23.9410000000062,0,0,0,0,6,108.101999999992,190.365000000005,40,25,18,10,12,19,9,56,1194.42409649674,241.624999999971,11,6,66.237000000001,1,NA,NA,NA,NA
"G11_1","000724B642",3.40699999999924,2,17.2189999999973,1,0,0,17.2189999999973,1,0,0,87.8079999999973,1,87.8079999999973,1,87.8079999999973,1,0,0,0,0,0,0,0,0,1,17.2189999999973,1,87.8079999999973,0,0,1,17.2189999999973,0,0,1,17.2189999999973,1,87.8079999999973,1,17.2189999999973,0,0,0,0,0,0,107.002,22,3,18,3,3,18,3,6,236.313026546177,111.382000000005,3,2,784.309999999998,6,"1",56.8336458850455,46.7786994671281,64.0315902855714
"G11_1","000724D4F3",3.84700000000157,2,210.209999999999,2,0,0,210.209999999999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,210.209999999999,0,0,0,0,2,210.209999999999,2,210.209999999999,0,0,0,0,0,0,0,0,0,0,0,0,216.627999999997,46,45,0,45,45,0,45,10,292.8767386655,221.745999999992,5,2,222.603999999999,1,"2",56.8336458850455,49.1777642842779,37.6669565693424
